Date,Active Device Installs,Notes
2018-12-17,1,
2018-12-18,5,
2018-12-19,4,
2018-12-20,4,
2018-12-21,5,
2018-12-22,4,
2018-12-23,5,
2018-12-24,4,
2018-12-25,4,
2018-12-26,4,
2018-12-27,4,
2018-12-28,4,
2018-12-29,4,
2018-12-30,4,
2018-12-31,4,
2019-01-01,4,
2019-01-02,4,
2019-01-03,5,
2019-01-04,4,
2019-01-05,4,
2019-01-06,4,
2019-01-07,5,
2019-01-08,5,
2019-01-09,4,
2019-01-10,4,
2019-01-11,4,
2019-01-12,5,
2019-01-13,4,
2019-01-14,5,
2019-01-15,6,
2019-01-16,5,
2019-01-17,5,
2019-01-18,5,
2019-01-19,5,
2019-01-20,6,
2019-01-21,6,
2019-01-22,6,
2019-01-23,6,
2019-01-24,6,
2019-01-25,6,
2019-01-26,7,
2019-01-27,6,
2019-01-28,6,
2019-01-29,7,
2019-01-30,5,
2019-01-31,5,
2019-02-01,5,
2019-02-02,6,
2019-02-03,5,
2019-02-04,5,
2019-02-05,5,
2019-02-06,5,
2019-02-07,6,
2019-02-08,8,
2019-02-09,8,
2019-02-10,7,
2019-02-11,7,
2019-02-12,7,
2019-02-13,8,
2019-02-14,9,
2019-02-15,9,
2019-02-16,11,
2019-02-17,9,
2019-02-18,12,
2019-02-19,10,
2019-02-20,10,
2019-02-21,10,
2019-02-22,11,
2019-02-23,11,
2019-02-24,12,
2019-02-25,14,
2019-02-26,12,
2019-02-27,13,
2019-02-28,13,
2019-03-01,12,
2019-03-02,12,
2019-03-03,14,
2019-03-04,13,
2019-03-05,13,
2019-03-06,16,
2019-03-07,14,
2019-03-08,15,
2019-03-09,14,
2019-03-10,16,
2019-03-11,18,
2019-03-12,24,
2019-03-13,27,
2019-03-14,30,
2019-03-15,29,
2019-03-16,28,
2019-03-17,26,
2019-03-18,28,
2019-03-19,29,
2019-03-20,29,
2019-03-21,31,
2019-03-22,32,
2019-03-23,30,
2019-03-24,34,
2019-03-25,32,
2019-03-26,33,
2019-03-27,33,
2019-03-28,36,
2019-03-29,37,
2019-03-30,37,
2019-03-31,35,
2019-04-01,36,
2019-04-02,34,
2019-04-03,35,
2019-04-04,37,
2019-04-05,37,
2019-04-06,34,
2019-04-07,38,
2019-04-08,36,
2019-04-09,38,
2019-04-10,36,
2019-04-11,36,
2019-04-12,35,
2019-04-13,38,
2019-04-14,40,
2019-04-15,42,
2019-04-16,38,
2019-04-17,42,
2019-04-18,41,
2019-04-19,41,
2019-04-20,40,
2019-04-21,39,
2019-04-22,41,
2019-04-23,44,
2019-04-24,39,
2019-04-25,39,
2019-04-26,41,
2019-04-27,39,
2019-04-28,39,
2019-04-29,39,
2019-04-30,43,
2019-05-01,41,
2019-05-02,43,
2019-05-03,42,
2019-05-04,42,
2019-05-05,43,
2019-05-06,42,
2019-05-07,45,
2019-05-08,46,
2019-05-09,45,
2019-05-10,44,
2019-05-11,46,
2019-05-12,45,
